aircraft_type,name,engine_manufacturer,engine_model
B703,707-338C,Pratt & Whitney,JT3D-3;JT3D-3B;JT3D-7;JT3D-1;JT3D-1MC6;JT3D-1MC7
B703,707-366C,Pratt & Whitney,JT3D-3;JT3D-3B;JT3D-7;JT3D-1;JT3D-1MC6;JT3D-1MC7
B703,707-368C,Pratt & Whitney,JT3D-3;JT3D-3B;JT3D-7;JT3D-1;JT3D-1MC6;JT3D-1MC7
B703,707-373C,Pratt & Whitney,JT3D-3;JT3D-3B;JT3D-7;JT3D-1;JT3D-1MC6;JT3D-1MC7
B703,707-3J6B,Pratt & Whitney,JT3D-3;JT3D-3B;JT3D-7
B703,707-3J6C,Pratt & Whitney,JT3D-3;JT3D-3B;JT3D-7;JT3D-1;JT3D-1MC6;JT3D-1MC7
B703,707-3J9C,Pratt & Whitney,JT3D-3;JT3D-3B;JT3D-7;JT3D-1;JT3D-1MC6;JT3D-1MC7
B703,707-3K1C,Pratt & Whitney,JT3D-3;JT3D-3B;JT3D-7;JT3D-1;JT3D-1MC6;JT3D-1MC7
B703,707-3L6B,Pratt & Whitney,JT3D-3;JT3D-3B;JT3D-7
B703,707-3L6C,Pratt & Whitney,JT3D-3;JT3D-3B;JT3D-7;JT3D-1;JT3D-1MC6;JT3D-1MC7
B703,707-3P1C,Pratt & Whitney,JT3D-3;JT3D-3B;JT3D-7;JT3D-1;JT3D-1MC6;JT3D-1MC7
B703,707-3W6C,Pratt & Whitney,JT3D-3;JT3D-3B;JT3D-7;JT3D-1;JT3D-1MC6;JT3D-1MC7
B712,717-200,Rolls Royce,BR700-715A1-30;BR700-715C1-30
B712,717-22K,Rolls Royce,BR700-715A1-30;BR700-715C1-31
B712,717-231,Rolls Royce,BR700-715A1-30;BR700-715C1-32
B712,717-23S,Rolls Royce,BR700-715A1-30;BR700-715C1-33
B712,717-2BD,Rolls Royce,BR700-715A1-30;BR700-715C1-34
B712,717-2BL,Rolls Royce,BR700-715A1-30;BR700-715C1-35
B712,717-2CM,Rolls Royce,BR700-715A1-30;BR700-715C1-36
B712,717-2K9,Rolls Royce,BR700-715A1-30;BR700-715C1-37
AT72,72-201,Pratt & Whitney Canada,124B
AT72,72-201F,Pratt & Whitney Canada,124B
AT72,72-202,Pratt & Whitney Canada,124B
AT72,72-202F,Pratt & Whitney Canada,124B
AT73,72-211F,Pratt & Whitney Canada,127;127F
AT73,72-212,Pratt & Whitney Canada,127;127F
AT73,72-212F,Pratt & Whitney Canada,127;127F
AT75,72-500,Pratt & Whitney Canada,127F
AT76,72-600,Pratt & Whitney Canada,127M
B720,720-023B,Pratt & Whitney,JT3C-7
B721,727-17,Pratt & Whitney,JT8D-1;JT8D-1A;JT8D-1B;JT8D-7;JT7D-7A;JT8D-7B;JT8D-9;JT8D-9A;JT8D-11;JT8D-15;JT8D-17
B721,727-1H2,Pratt & Whitney,JT8D-1;JT8D-1A;JT8D-1B;JT8D-7;JT7D-7A;JT8D-7B;JT8D-9;JT8D-9A;JT8D-11;JT8D-15;JT8D-17
B722,727-200,Pratt & Whitney,JT8D-1;JT8D-1A;JT8D-1B;JT8D-7;JT8D-7A;JT8D-7B;JT8D-9;JT8D-9A;JT8D-11;JT8D-15;JT8D-15A;JT8D-17;JT8D-17A;JT8D-17R;JT8D-17AR
B721,727-21,Pratt & Whitney,JT8D-1;JT8D-1A;JT8D-1B;JT8D-7;JT8D-7A;JT8D-7B;JT8D-9;JT8D-9A;JT8D-11;JT8D-15;JT8D-15A;JT8D-17;JT8D-17A;JT8D-17R;JT8D-17AR
B722,727-212,Pratt & Whitney,JT8D-1;JT8D-1A;JT8D-1B;JT8D-7;JT8D-7A;JT8D-7B;JT8D-9;JT8D-9A;JT8D-11;JT8D-15;JT8D-15A;JT8D-17;JT8D-17A;JT8D-17R;JT8D-17AR
B722,727-212F,Pratt & Whitney,JT8D-17A
B722,727-214F,Pratt & Whitney,JT8D-17A
B721,727-22,Pratt & Whitney,JT8D-1;JT8D-1A;JT8D-1B;JT8D-7;JT8D-7A;JT8D-7B;JT8D-9;JT8D-9A;JT8D-11;JT8D-15;JT8D-15A;JT8D-17;JT8D-17A;JT8D-17R;JT8D-17AR
B722,727-221,Pratt & Whitney,JT8D-1;JT8D-1A;JT8D-1B;JT8D-7;JT8D-7A;JT8D-7B;JT8D-9;JT8D-9A;JT8D-11;JT8D-15;JT8D-15A;JT8D-17;JT8D-17A;JT8D-17R;JT8D-17AR
B722,727-223,Pratt & Whitney,JT8D-1;JT8D-1A;JT8D-1B;JT8D-7;JT8D-7A;JT8D-7B;JT8D-9;JT8D-9A;JT8D-11;JT8D-15;JT8D-15A;JT8D-17;JT8D-17A;JT8D-17R;JT8D-17AR
B722,727-223F,Pratt & Whitney,JT8D-17A
B722,727-224,Pratt & Whitney,JT8D-1;JT8D-1A;JT8D-1B;JT8D-7;JT8D-7A;JT8D-7B;JT8D-9;JT8D-9A;JT8D-11;JT8D-15;JT8D-15A;JT8D-17;JT8D-17A;JT8D-17R;JT8D-17AR
B722,727-225,Pratt & Whitney,JT8D-1;JT8D-1A;JT8D-1B;JT8D-7;JT8D-7A;JT8D-7B;JT8D-9;JT8D-9A;JT8D-11;JT8D-15;JT8D-15A;JT8D-17;JT8D-17A;JT8D-17R;JT8D-17AR
B722,727-225F,Pratt & Whitney,JT8D-17A
B722,727-227,Pratt & Whitney,JT8D-1;JT8D-1A;JT8D-1B;JT8D-7;JT8D-7A;JT8D-7B;JT8D-9;JT8D-9A;JT8D-11;JT8D-15;JT8D-15A;JT8D-17;JT8D-17A;JT8D-17R;JT8D-17AR
B722,727-227F,Pratt & Whitney,JT8D-17A
