icao_code,iata_code,manufacturer,name,description,wtc,service_ceiling,absolute_ceiling,rate_of_climb,approach_speed,cruise_speed,maximum_speed,never_exceed_speed,fuselage_height,fuselage_width,height,length,wing_area,wingspan,main_rotor_area,main_rotor_diameter,fuel_capacity,operating_range,ferry_range,oew,auw,mlw,mrw,mtow,mzfw,type_certificate
L60,,Aero Vodochody,L-60 Brigadyr,L1P,L,,,,,,,,,,,,,,,,,,,,,,,,,
L90,,Aermacchi,M-290 RediGO,L1T,L,,,,,,,,,,,,,,,,,,,,,,,,,
LA60,,Aermacchi,AL-60,L1P,L,,,,61,,,,,,,,,,,,,,,,,,,,,
LANC,,Avro,683 Lancaster,L4P,M,,,,,,,,,,,,,,,,,,,,,,,,,
LJ24,,Learjet,24,L2J,L,,,,,,,,,,,,,,,,,,,,,,,,,
LJ25,,Learjet,25,L2J,L,,,,,,,,,,,,,,,,,,,,,,,,,
LJ31,,Learjet,31,L2J,M,,,,,,,,,,,,,,,,,,,,,,,,,
LJ35,,Learjet,35,L2J,M,,,,,,,,,,,,,,,,,,,,,,,,,
LJ40,,Learjet,40,L2J,M,,,,,,,,,,,,,,,,,,,,,,,,,
LJ45,,Learjet,45,L2J,M,,,,,,,,,,,,,,,,,,,,,,,,,
LJ55,,Learjet,55,L2J,M,,,,,,,,,,,,,,,,,,,,,,,,,
LJ60,,Learjet,60,L2J,M,,,,,,,,,,,,,,,,,,,,,,,,,
LJ75,,Learjet,75,L2J,M,,,,,,,,,,,,,,,,,,,,,,,,,
LTNG,,English Electric,Lightning,L2J,M,,,,,,,,,,,,,,,,,,,,,,,,,
M10,,Mooney,M-10 Cadet,L1P,L,,,,52,,,,,,,,,,,,,,,,,,,,,
M10F,,Mooney,M-10T,L1P,L,,,,,,,,,,,,,,,,,,,,,,,,,
M10R,,Mooney,M-10J,L1P,L,,,,,,,,,,,,,,,,,,,,,,,,,
M20P,,Mooney,M20,L1P,L,,,,65,,,,,,,,,,,,,,,,,,,,,
M20T,,Mooney,M20 Turbo,L1P,L,,,,77,,,,,,,,,,,,,,,,,,,,,
M22,,Mooney,M-22 Mustang,L1P,L,,,,78,,,,,,,,,,,,,,,,,,,,,
M308,,Aermacchi,MB-308,L1P,L,,,,,,,,,,,,,,,,,,,,,,,,,
M326,,Aermacchi,MB-326,L1J,L,,,,103,,,,,,,,,,,,,,,,,,,,,
M339,,Aermacchi,MB-339,L1J,L,,,,,,,,,,,,,,,,,,,,,,,,,
